column,min,min_id,max,max_id,mean,median,75th_percentile,95th_percentile,99th_percentile
المبيعات_جنيه,33,124882234-2021,4007901172,203060182-2021,75386014.07,44369971.5,114216034.5,202157212.6,278101666.1
الإيرادات_جنيه,33,124882234-2021,401608674,842254633-2025,70902334.95,44567090.5,113648485.3,199149674.7,240645857.8
الموظفون,1,113803032-2023,495,628860580-2025,29.04590008,12,50,77,89
رأس_المال_المدفوع_جنيه,50783,372734628-2021,14995741,300532442-2023,3438629.762,2861853,4268586.25,10952467,14201082
ضريبة_القيمة_المضافة_المتوقعة,92438,183149988-2021,52154927,842254633-2025,9976084.936,6268539.5,16042978,27765276.95,33326054.33
ضريبة_القيمة_المضافة_المصرح_بها,84225,183149988-2021,50550799,842254633-2025,8975999.336,5614377.5,14180474.25,25507540.55,31766006.02
branches,1,100013698-2021,9,101973190-2021,2.135635522,1,2,8,9
عمر_المنشأة,1,100400180-2022,21,105454287-2025,9.929504924,10,14,19,20
نمو_المبيعات,-0.99999908,894404497-2023,1125914.848,124882234-2022,97.19890904,0.028560519,0.069698759,0.447688894,5.804882465
نمو_الموظفين,-0.987012987,873392919-2024,58,648474846-2024,0.112154447,0,0.044776119,0.142857143,4.548585859
العائد_على_رأس_المال,1.81E-05,124882234-2021,1219.959552,928919674-2024,32.09269791,19.79471811,35.9717818,85.46529618,267.6573387
المبيعات_جنيه_p,0.000378501,229887635-2024,1,107844916-2024,0.501191178,0.501072966,0.751131495,0.951219512,0.991212957
نمو_المبيعات_p,0.000378501,229887635-2024,1,102991966-2025,0.500952943,0.5,0.695579561,0.940081433,0.989051095
الموظفون_p,0.001474926,596670090-2021,1,114453360-2021,0.501191178,0.503374355,0.751984956,0.950956938,0.991110831
نمو_الموظفين_p,0.000378501,556333002-2024,1,123298954-2023,0.500952943,0.470424772,0.690403404,0.93956044,0.988734024
عمر_المنشأة_p,0.0125,114438142-2022,1,241574971-2021,0.501191178,0.499341817,0.751861042,0.963178295,0.979409479
العائد_على_رأس_المال_p,0.000378501,229887635-2024,1,106693586-2021,0.501191178,0.501072966,0.751131495,0.951219512,0.991212957
branches_p,0.349514563,128703641-2024,1,107844916-2024,0.501168489,0.37538394,0.752022654,0.951648352,0.984956122
score,0.75,396380194-2025,9.37,632982861-2024,5.0113407,5.04,5.99,7.21,7.92
