class_ar,booming,booming_confidence,shrinking,shrinking_confidence,top_5_companies,,,,,,,,
  أعمال التشييد المتعلقة بمشاريع الهندسة المدنية الأخرى,1,mid,0,,الإسكندرية لوجستيات ش.ذ.م.م (5.23%) | الأهرام تجارة ذ.م.م (4.72%) | الأهرام صلب ذ.م.م (4.17%) | النيل خدمات ش.م.م (3.95%) | مصر زراعة محدودة (3.91%),,,,,,,,
  أماكن المخيمات والمتنزهات الترفيهية التي تتيح مكاناً للسيارات والمتنزهات التي تتيح مكاناً للمقطورات,0,,0,,الجيزة منسوجات محدودة (8.72%) | القاهرة بلاستيك ش.م.م (8.62%) | حورس تقنية ذ.م.م (5.22%) | الدلتا كيماويات ذ.م.م (5.11%) | الإسكندرية بلاستيك ذ.م.م (4.53%),,,,booming,count,,,
  أنشطة ألعاب القمار والمراهنة,0,,1,high,النيل زراعة محدودة (34.10%) | القاهرة صلب ش.م.م (19.56%) | اللوتس خدمات ش.ذ.م.م (19.43%) | اللوتس كيماويات محدودة (7.27%) | الجيزة لوجستيات محدودة (6.81%),,,,1,110,,mid,82
  أنشطة البرمجة والإذاعة والتليفزيون,0,,0,,الأهرام خدمات ذ.م.م (13.68%) | النيل زراعة ش.ذ.م.م (10.81%) | مصر منسوجات ذ.م.م (10.12%) | الإسكندرية خدمات ش.ذ.م.م (9.76%) | النيل تقنية ذ.م.م (8.67%),,,,0,309,,high,17
  أنشطة البريد,0,,1,high,النيل كيماويات ذ.م.م (14.47%) | الجيزة صلب ش.ذ.م.م (11.76%) | القاهرة منسوجات ش.ذ.م.م (11.22%) | الإسكندرية أغذية محدودة (11.09%) | اللوتس لوجستيات ذ.م.م (7.98%),,,,total,419,,very high,11
  أنشطة التشييد المتخصصة الأخرى,0,,0,,اللوتس خدمات محدودة (5.56%) | الدلتا كيماويات ش.ذ.م.م (5.56%) | سيناء لوجستيات ذ.م.م (4.80%) | النيل لوجستيات ش.م.م (4.14%) | الإسكندرية بلاستيك محدودة (3.89%),,,,,,,,
  أنشطة التصميم المتخصصة,1,mid,0,,اللوتس زراعة ش.ذ.م.م (9.07%) | حورس أغذية ش.م.م (8.96%) | الجيزة زراعة محدودة (7.49%) | النيل كيماويات ذ.م.م (6.67%) | الجيزة تقنية ش.م.م (6.59%),,,,,,,,
  أنشطة التصوير,0,,0,,النيل زراعة ش.ذ.م.م (10.03%) | اللوتس تقنية محدودة (6.40%) | سيناء بلاستيك ذ.م.م (6.23%) | القاهرة أغذية ش.م.م (6.08%) | الجيزة خدمات ش.م.م (5.82%),,,,shrinking,count,,mid,166
  أنشطة الخبرة الاستشارية في مجال الإدارة,1,mid,0,,الجيزة خدمات ذ.م.م (12.34%) | الإسكندرية كيماويات ش.ذ.م.م (10.57%) | النيل زراعة ش.ذ.م.م (8.13%) | مصر كيماويات محدودة (7.60%) | مصر صلب ذ.م.م (6.47%),,,,1,227,,high,60
  أنشطة الدعم لاستخراج النفط والغاز الطبيعي,1,high,0,,الإسكندرية بلاستيك ذ.م.م (35.17%) | النيل أغذية محدودة (33.55%) | النيل خدمات ش.م.م (13.23%) | النيل تقنية ش.ذ.م.م (11.32%) | سيناء أغذية محدودة (4.21%),,,,0,192,,very high,1
  أنشطة الرعاية الأخرى مع الإقامة,0,,0,,سيناء زراعة ذ.م.م (15.10%) | مصر خدمات ش.ذ.م.م (7.99%) | حورس بلاستيك ش.م.م (7.86%) | الأهرام خدمات ذ.م.م (7.61%) | الدلتا لوجستيات ذ.م.م (5.96%),,,,,,,,
  أنشطة الشركات القابضة,0,,1,mid,الأهرام بلاستيك ش.ذ.م.م (32.66%) | الدلتا صلب محدودة (16.07%) | الدلتا تقنية ش.م.م (13.22%) | القاهرة أغذية محدودة (7.59%) | الأهرام تقنية محدودة (5.32%),,,,,,,,
  أنشطة الضمان الاجتماعي الإلزامي,0,,0,,الإسكندرية بلاستيك ذ.م.م (46.48%) | مصر تجارة ش.م.م (45.02%) | القاهرة خدمات ش.م.م (8.50%),,,,nor booming nor shrinking,,,,
