tax_id,name,name_ar,isic_section,sector,isic_class,is_industrial,start_year,close_year,paid_in_capital_egp,sme_tier_init,branches
898195259,Pyramid Trading Ltd.,النيل خدمات ذ.م.م,L,Real estate activities,L6810,0,2023,10000,2972459.0,small,1
834064562,Pyramid Services LLC,الإسكندرية خدمات ش.ذ.م.م,H,Transportation and storage,H5221,0,2010,10000,3377221.0,medium,1
719726668,Nile Chem Co.,النيل لوجستيات محدودة,J,Information and communication,J6130,0,2024,10000,588696.0,small,1
217659658,Sinai Services SAE,الأهرام أغذية ش.ذ.م.م,C,Manufacturing,C2740,1,2009,10000,7835399.0,medium,1
224789655,Horus Textiles Ltd.,القاهرة لوجستيات ذ.م.م,H,Transportation and storage,H5223,0,2006,10000,1245018.0,small,1
539358338,Nile Logistics SAE,الإسكندرية زراعة ش.ذ.م.م,S,Other service activities,S9492,0,2023,10000,4079217.0,medium,1
979939502,Alex Services SAE,اللوتس صلب ش.ذ.م.م,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4763,0,2020,10000,3447794.0,medium,1
555224864,Giza Chem Ltd.,سيناء زراعة ش.م.م,C,Manufacturing,C1020,1,2018,2019,2965006.0,small,1
567990619,Pyramid Textiles Co.,اللوتس لوجستيات ش.م.م,S,Other service activities,S9512,0,2011,10000,3044968.0,medium,3
172743223,Alex Services Co.,مصر بلاستيك ش.م.م,I,Accommodation and food service activities,I5510,0,2023,10000,4259193.0,medium,1
411655466,Horus Chem Ltd.,اللوتس زراعة ذ.م.م,C,Manufacturing,C3312,1,2011,10000,3460274.0,small,1
100233326,Delta Plastics LLC,اللوتس لوجستيات ش.ذ.م.م,I,Accommodation and food service activities,I5610,0,2011,10000,4338080.0,medium,1
862759039,Delta Plastics Ltd.,الإسكندرية أغذية ش.ذ.م.م,S,Other service activities,S9602,0,2016,10000,1078083.0,small,5
355997472,Sinai Agri LLC,سيناء زراعة ش.ذ.م.م,D,"Electricity, gas, steam and air conditioning supply",D3510,1,2024,10000,2369701.0,small,6
530100205,Horus Tech Co.,الجيزة خدمات ش.م.م,N,Administrative and support service activities,N7990,0,2023,10000,993077.0,small,1
750137090,Alex Logistics SAE,مصر كيماويات ش.م.م,J,Information and communication,J6399,0,2010,10000,4316670.0,medium,3
479996661,Giza Trading Ltd.,الإسكندرية منسوجات ش.م.م,E,"Water supply; sewerage, waste management and remediation activities",E3811,1,2015,10000,985432.0,small,1
375674758,Cairo Services SAE,القاهرة زراعة ش.م.م,C,Manufacturing,C3092,1,2021,10000,2801513.0,small,1
645977729,Cairo Textiles Ltd.,الدلتا كيماويات محدودة,S,Other service activities,S9522,0,2008,10000,3008380.0,medium,1
428684611,Alex Trading Ltd.,حورس بلاستيك ش.م.م,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4751,0,2015,10000,1382402.0,small,6
535890496,Giza Chem Ltd.,النيل تقنية ش.ذ.م.م,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4774,0,2010,10000,2878827.0,small,1
823879996,Nile Steel Ltd.,القاهرة لوجستيات محدودة,I,Accommodation and food service activities,I5621,0,2023,10000,3786209.0,medium,1
371141825,Cairo Logistics Co.,القاهرة بلاستيك ش.م.م,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4659,0,2020,2034,803979.0,small,7
106005101,Sinai Trading LLC,سيناء صلب ش.م.م,A,"Agriculture, forestry and fishing",A0230,1,2006,10000,11697910.0,medium,4
677121043,Nile Logistics Co.,مصر لوجستيات محدودة,F,Construction,F4290,1,2010,2020,7529467.0,medium,1
675369126,Sinai Trading Ltd.,الدلتا خدمات محدودة,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4540,0,2012,2013,1905533.0,small,1
165295521,Pyramid Steel LLC,الأهرام بلاستيك ش.ذ.م.م,K,Financial and insurance activities,K6420,0,2017,10000,3267304.0,medium,1
106397016,Giza Logistics Co.,الإسكندرية زراعة ذ.م.م,H,Transportation and storage,H5223,0,2015,10000,4087322.0,medium,1
949578757,Giza Services Ltd.,النيل أغذية ش.ذ.م.م,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4690,0,2024,2036,567918.0,small,1
721798639,Alex Plastics LLC,النيل صلب محدودة,C,Manufacturing,C2818,1,2023,10000,14573798.0,medium,1
162846268,Alex Tech LLC,الجيزة أغذية ش.ذ.م.م,L,Real estate activities,L6810,0,2020,10000,552830.0,small,1
