tax_id,name,isic_section,sector,isic_class,is_industrial,start_year,close_year,paid_in_capital_egp,sme_tier_init,isic_class_name_en
EG3910415158,Delta Foods SAE,L,Real estate activities,L6810,0,2022,10000,2081326.0,small,Real estate activities with own or leased property
EG3117390357,Nile Logistics SAE,H,Transportation and storage,H5221,0,2022,10000,4297333.0,medium,Service activities incidental to land transportation
EG2964185633,Misr Steel LLC,J,Information and communication,J6130,0,2011,10000,1490119.0,small,Satellite telecommunications activities
EG9574185961,Alex Textiles Co.,C,Manufacturing,C2740,1,2019,10000,14777106.0,medium,Manufacture of electric lighting equipment
EG3735579160,Horus Trading Ltd.,H,Transportation and storage,H5223,0,2020,10000,1583969.0,small,Service activities incidental to air transportation
EG5007263174,Delta Plastics LLC,S,Other service activities,S9492,0,2017,10000,4076507.0,medium,Activities of political organizations
EG4824634110,Delta Logistics SAE,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4763,0,2020,10000,3000519.0,medium,Retail sale of sporting equipment in specialized stores
EG5043183986,Lotus Steel Co.,C,Manufacturing,C1020,1,2014,10000,4328982.0,small,"Processing and preserving of fish, crustaceans and molluscs"
EG9309191144,Giza Steel Ltd.,S,Other service activities,S9512,0,2008,10000,3955778.0,medium,Repair of communication equipment
EG4344958740,Cairo Services Ltd.,I,Accommodation and food service activities,I5510,0,2007,10000,3844437.0,medium,Short term accommodation activities
EG3063584489,Delta Logistics Ltd.,C,Manufacturing,C3312,1,2007,10000,1566211.0,small,Repair of machinery
EG6366280089,Cairo Logistics Ltd.,I,Accommodation and food service activities,I5610,0,2023,10000,3730410.0,medium,Restaurants and mobile food service activities
EG8247930486,Misr Foods Co.,S,Other service activities,S9602,0,2023,10000,2422718.0,small,Hairdressing and other beauty treatment
EG3452108807,Lotus Agri LLC,D,"Electricity, gas, steam and air conditioning supply",D3510,1,2009,2017,83028.0,small,"Electric power generation, transmission and distribution"
EG9254767703,Giza Trading SAE,N,Administrative and support service activities,N7990,0,2019,10000,4278598.0,medium,Other reservation service and related activities
EG1763753384,Cairo Plastics Co.,J,Information and communication,J6399,0,2023,10000,3014216.0,medium,Other information service activities n.e.c.
EG5023052658,Pyramid Services LLC,E,"Water supply; sewerage, waste management and remediation activities",E3811,1,2014,2025,3469893.0,small,Collection of non-hazardous waste
EG7302851427,Nile Logistics SAE,C,Manufacturing,C3092,1,2006,10000,962592.0,small,Manufacture of bicycles and invalid carriages
EG4562425028,Delta Steel LLC,S,Other service activities,S9522,0,2009,10000,4048501.0,medium,Repair of household appliances and home and garden equipment
EG5508006796,Pyramid Foods Ltd.,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4751,0,2009,10000,2058338.0,small,Retail sale of textiles in specialized stores
EG6217707209,Nile Chem SAE,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4774,0,2005,10000,1212065.0,small,Retail sale of second-hand goods
EG3104502335,Pyramid Foods Co.,I,Accommodation and food service activities,I5621,0,2005,10000,4147039.0,medium,Event catering
EG7657941188,Delta Plastics SAE,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4659,0,2006,10000,4253451.0,medium,Wholesale of other machinery and equipment
EG9898053335,Sinai Services Co.,A,"Agriculture, forestry and fishing",A0230,1,2019,10000,5970357.0,medium,Gathering of non-wood forest products
EG2022445294,Horus Plastics LLC,F,Construction,F4290,1,2019,10000,13377364.0,medium,Construction of other civil engineering projects
EG5242264129,Misr Agri Co.,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4540,0,2006,10000,889050.0,small,"Sale, maintenance and repair of motorcycles and related parts and accessories"
EG3041559489,Nile Services Ltd.,K,Financial and insurance activities,K6420,0,2011,10000,4998060.0,medium,Activities of holding companies
EG1081374919,Alex Foods Ltd.,H,Transportation and storage,H5223,0,2016,10000,4850342.0,medium,Service activities incidental to air transportation
EG7805406329,Giza Services LLC,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4690,0,2015,2023,951401.0,small,Non-specialized wholesale trade
EG7820294100,Cairo Foods SAE,C,Manufacturing,C2818,1,2011,10000,6785757.0,medium,Manufacture of power-driven hand tools
EG5965114264,Sinai Plastics LLC,L,Real estate activities,L6810,0,2012,2026,1828247.0,small,Real estate activities with own or leased property
EG9073843530,Misr Steel SAE,C,Manufacturing,C1520,1,2015,10000,5384936.0,medium,Manufacture of footwear
EG3795408987,Lotus Plastics LLC,J,Information and communication,J6020,0,2018,10000,3530239.0,medium,Television programming and broadcasting activities
EG9885146526,Alex Logistics Co.,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4520,0,2007,10000,3666972.0,medium,Maintenance and repair of motor vehicles
EG4957173983,Nile Steel LLC,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4730,0,2019,10000,4038211.0,medium,Retail sale of automotive fuel in specialized stores
EG3222113160,Giza Plastics SAE,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4751,0,2012,10000,3657524.0,medium,Retail sale of textiles in specialized stores
EG8099241535,Horus Foods SAE,C,Manufacturing,C2023,1,2009,10000,3335496.0,small,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
EG6060483731,Giza Chem Co.,C,Manufacturing,C1702,1,2011,10000,1553296.0,small,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard
EG4816253361,Alex Chem Co.,I,Accommodation and food service activities,I5621,0,2012,10000,3403605.0,medium,Event catering
EG2388097520,Alex Tech LLC,F,Construction,F4312,1,2023,10000,10851486.0,medium,Site preparation
EG5812183347,Nile Trading Ltd.,A,"Agriculture, forestry and fishing",A0142,1,2010,10000,896035.0,small,Raising of horses and other equines
EG4107193356,Pyramid Steel LLC,C,Manufacturing,C2815,1,2012,2022,3758012.0,small,"Manufacture of ovens, furnaces and furnace burners"
EG8683186254,Cairo Steel Co.,Q,Human health and social work activities,Q8790,0,2024,10000,2290194.0,small,Other residential care activities
EG3849435017,Horus Logistics Co.,J,Information and communication,J5920,0,2012,10000,2891169.0,small,Sound recording and music publishing activities
EG2750932394,Alex Tech Ltd.,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4773,0,2017,10000,3506615.0,medium,Other retail sale of new goods in specialized stores
EG7465587106,Pyramid Trading SAE,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4620,0,2011,10000,4017533.0,medium,Wholesale of agricultural raw materials and live animals
EG1437898809,Delta Services Co.,M,"Professional, scientific and technical activities",M6920,0,2018,10000,3392724.0,medium,"Accounting, bookkeeping and auditing activities; tax consultancy"
EG2110992092,Nile Logistics Co.,F,Construction,F4330,1,2022,10000,4671484.0,small,Building completion and finishing
EG9361758595,Nile Tech Ltd.,H,Transportation and storage,H5222,0,2018,10000,3012732.0,medium,Service activities incidental to water transportation
EG9621001001,Delta Textiles LLC,A,"Agriculture, forestry and fishing",A0125,1,2022,10000,14797413.0,medium,Growing of other tree and bush fruits and nuts
EG4011829542,Lotus Tech Co.,I,Accommodation and food service activities,I5621,0,2012,10000,1015207.0,small,Event catering
EG7088275689,Nile Tech SAE,S,Other service activities,S9524,0,2022,10000,3473357.0,medium,Repair of furniture and home furnishings
EG5505535653,Delta Chem LLC,J,Information and communication,J5811,0,2023,10000,3716384.0,medium,Book publishing
EG3947748754,Misr Trading SAE,C,Manufacturing,C3012,1,2018,10000,289909.0,small,Building of pleasure and sporting boats
EG9858936764,Cairo Textiles Ltd.,H,Transportation and storage,H5022,0,2012,10000,1022132.0,small,Inland freight water transport
