الرقم_الضريبي,اسم_الشركة,السنة,القطاع,فئة_SME,المبيعات_جنيه,الإيرادات_جنيه,الموظفون,رأس_المال_المدفوع_جنيه,sales_yoy,rc,group_n,anomaly_count,flag_sales_spike_yoy,flag_high_sales_low_emp,flag_high_emp_low_sales,flag_high_cap_stagnant,flag_low_rc
541062494,الأهرام أغذية ش.ذ.م.م,2021,أنشطة الأسر المعيشية كأصحاب عمل؛ أنشطة إنتاج السلع والخدمات للاستخدام الخاص,small,1868977.0,1877737.0,10,2769687.0,,0.6779600005343565,10.0,2,False,False,False,True,True
107163261,مصر بلاستيك محدودة,2021,أنشطة الأسر المعيشية كأصحاب عمل؛ أنشطة إنتاج السلع والخدمات للاستخدام الخاص,medium,67569581.0,62850899.0,39,4425078.0,,14.203342630344595,10.0,0,False,False,False,False,False
327569985,النيل كيماويات محدودة,2021,أنشطة الأسر المعيشية كأصحاب عمل؛ أنشطة إنتاج السلع والخدمات للاستخدام الخاص,medium,93833496.0,99332135.0,52,3167755.0,,31.357265634495093,10.0,0,False,False,False,False,False
330844628,حورس صلب ذ.م.م,2021,أنشطة الأسر المعيشية كأصحاب عمل؛ أنشطة إنتاج السلع والخدمات للاستخدام الخاص,small,53838672.0,48888212.0,7,2322361.0,,21.0510820669138,10.0,0,False,False,False,False,False
406261764,مصر بلاستيك ذ.م.م,2021,أنشطة الأسر المعيشية كأصحاب عمل؛ أنشطة إنتاج السلع والخدمات للاستخدام الخاص,small,18748105.0,17660516.0,9,1453558.0,,12.149852981442777,10.0,0,False,False,False,False,False
505372123,الدلتا منسوجات ش.ذ.م.م,2021,أنشطة الأسر المعيشية كأصحاب عمل؛ أنشطة إنتاج السلع والخدمات للاستخدام الخاص,medium,189018746.0,197745093.0,60,4013946.0,,49.26451252707435,10.0,0,False,False,False,False,False
526517181,الجيزة لوجستيات محدودة,2021,أنشطة الأسر المعيشية كأصحاب عمل؛ أنشطة إنتاج السلع والخدمات للاستخدام الخاص,medium,123969030.0,113520096.0,80,3462480.0,,32.7857766687461,10.0,0,False,False,False,False,False
688663295,القاهرة خدمات محدودة,2021,أنشطة الأسر المعيشية كأصحاب عمل؛ أنشطة إنتاج السلع والخدمات للاستخدام الخاص,small,47064410.0,45389890.0,5,219967.0,,206.3486341132988,10.0,0,False,False,False,False,False
710858060,حورس منسوجات محدودة,2021,أنشطة الأسر المعيشية كأصحاب عمل؛ أنشطة إنتاج السلع والخدمات للاستخدام الخاص,small,32165432.0,35267187.0,8,1406834.0,,25.068477873011314,10.0,0,False,False,False,False,False
798323901,حورس زراعة ش.م.م,2021,أنشطة الأسر المعيشية كأصحاب عمل؛ أنشطة إنتاج السلع والخدمات للاستخدام الخاص,medium,103989538.0,109361514.0,76,4132678.0,,26.462626413187767,10.0,0,False,False,False,False,False
