firm_id,year,industry,risk_score,band,reason_codes
100013698,2021,الصناعة التحويلية,0.0,Stable,
100013698,2022,الصناعة التحويلية,0.0,Stable,
100013698,2023,الصناعة التحويلية,75.0,High,Revenue YoY ≤ -10%; 3-year average ≤ -10%/yr
100013698,2024,الصناعة التحويلية,0.0,Stable,
100013698,2025,الصناعة التحويلية,0.0,Stable,
100116684,2021,الأنشطة المهنية والعلمية والتقنية,0.0,Stable,
100116684,2022,الأنشطة المهنية والعلمية والتقنية,0.0,Stable,
100116684,2023,الأنشطة المهنية والعلمية والتقنية,40.0,Watchlist,Revenue YoY ≤ -10%
100116684,2024,الأنشطة المهنية والعلمية والتقنية,0.0,Stable,
100116684,2025,الأنشطة المهنية والعلمية والتقنية,0.0,Stable,
100149975,2021,أنشطة الإقامة وخدمات الطعام,0.0,Stable,
100149975,2022,أنشطة الإقامة وخدمات الطعام,0.0,Stable,
100149975,2023,أنشطة الإقامة وخدمات الطعام,40.0,Watchlist,Revenue YoY ≤ -10%
100149975,2024,أنشطة الإقامة وخدمات الطعام,0.0,Stable,
100149975,2025,أنشطة الإقامة وخدمات الطعام,0.0,Stable,
100233326,2021,أنشطة الإقامة وخدمات الطعام,0.0,Stable,
100233326,2022,أنشطة الإقامة وخدمات الطعام,0.0,Stable,
100233326,2023,أنشطة الإقامة وخدمات الطعام,40.0,Watchlist,Revenue YoY ≤ -10%
100233326,2024,أنشطة الإقامة وخدمات الطعام,0.0,Stable,
100233326,2025,أنشطة الإقامة وخدمات الطعام,0.0,Stable,
100271416,2021,الأنشطة المهنية والعلمية والتقنية,0.0,Stable,
100271416,2022,الأنشطة المهنية والعلمية والتقنية,0.0,Stable,
100271416,2023,الأنشطة المهنية والعلمية والتقنية,75.0,High,Revenue YoY ≤ -10%; 3-year average ≤ -10%/yr
100271416,2024,الأنشطة المهنية والعلمية والتقنية,0.0,Stable,
100271416,2025,الأنشطة المهنية والعلمية والتقنية,0.0,Stable,
100400180,2022,الصناعة التحويلية,0.0,Stable,
100400180,2023,الصناعة التحويلية,40.0,Watchlist,Revenue YoY ≤ -10%
100400180,2024,الصناعة التحويلية,35.0,Stable,3-year average ≤ -10%/yr
100400180,2025,الصناعة التحويلية,0.0,Stable,
100414406,2022,المعلومات والاتصالات,0.0,Stable,
100414406,2023,المعلومات والاتصالات,40.0,Watchlist,Revenue YoY ≤ -10%
100414406,2024,المعلومات والاتصالات,0.0,Stable,
100414406,2025,المعلومات والاتصالات,0.0,Stable,
100479255,2021,الصناعة التحويلية,0.0,Stable,
100479255,2022,الصناعة التحويلية,0.0,Stable,
100479255,2023,الصناعة التحويلية,75.0,High,Revenue YoY ≤ -10%; 3-year average ≤ -10%/yr
100479255,2024,الصناعة التحويلية,0.0,Stable,
100479255,2025,الصناعة التحويلية,0.0,Stable,
100520866,2024,النقل والتخزين,0.0,Stable,
100520866,2025,النقل والتخزين,55.0,Watchlist,Revenue YoY ≤ -10%; Employees YoY ≤ -10%
100846774,2021,الصناعة التحويلية,0.0,Stable,
100846774,2022,الصناعة التحويلية,0.0,Stable,
100846774,2023,الصناعة التحويلية,75.0,High,Revenue YoY ≤ -10%; 3-year average ≤ -10%/yr
100846774,2024,الصناعة التحويلية,0.0,Stable,
100846774,2025,الصناعة التحويلية,0.0,Stable,
100859609,2023,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,0.0,Stable,
100859609,2024,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,40.0,Watchlist,Revenue YoY ≤ -10%
100859609,2025,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,0.0,Stable,
100872949,2021,الصناعة التحويلية,0.0,Stable,
100872949,2022,الصناعة التحويلية,15.0,Stable,Employees YoY ≤ -10%
100872949,2023,الصناعة التحويلية,40.0,Watchlist,Revenue YoY ≤ -10%
100872949,2024,الصناعة التحويلية,0.0,Stable,
100872949,2025,الصناعة التحويلية,0.0,Stable,
100899048,2024,النقل والتخزين,0.0,Stable,
100899048,2025,النقل والتخزين,40.0,Watchlist,Revenue YoY ≤ -10%
101031226,2021,أنشطة الإقامة وخدمات الطعام,0.0,Stable,
101031226,2022,أنشطة الإقامة وخدمات الطعام,0.0,Stable,
101031226,2023,أنشطة الإقامة وخدمات الطعام,40.0,Watchlist,Revenue YoY ≤ -10%
101031226,2024,أنشطة الإقامة وخدمات الطعام,0.0,Stable,
101031226,2025,أنشطة الإقامة وخدمات الطعام,0.0,Stable,
101042068,2021,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,0.0,Stable,
101042068,2022,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,0.0,Stable,
101042068,2023,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,75.0,High,Revenue YoY ≤ -10%; 3-year average ≤ -10%/yr
101042068,2024,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,75.0,High,Revenue YoY ≤ -10%; 3-year average ≤ -10%/yr
101042068,2025,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,0.0,Stable,
101051460,2021,الأنشطة العقارية,0.0,Stable,
101051460,2022,الأنشطة العقارية,0.0,Stable,
101051460,2023,الأنشطة العقارية,75.0,High,Revenue YoY ≤ -10%; 3-year average ≤ -10%/yr
101051460,2024,الأنشطة العقارية,0.0,Stable,
101051460,2025,الأنشطة العقارية,0.0,Stable,
101078689,2021,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,0.0,Stable,
101078689,2022,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,0.0,Stable,
101078689,2023,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,75.0,High,Revenue YoY ≤ -10%; 3-year average ≤ -10%/yr
101078689,2024,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,35.0,Stable,3-year average ≤ -10%/yr
101078689,2025,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,0.0,Stable,
101475095,2021,المعلومات والاتصالات,0.0,Stable,
101475095,2022,المعلومات والاتصالات,0.0,Stable,
101475095,2023,المعلومات والاتصالات,0.0,Stable,
101475095,2024,المعلومات والاتصالات,0.0,Stable,
101475095,2025,المعلومات والاتصالات,0.0,Stable,
101598975,2021,الزراعة والحراجة وصيد الأسماك,0.0,Stable,
101598975,2022,الزراعة والحراجة وصيد الأسماك,0.0,Stable,
101598975,2023,الزراعة والحراجة وصيد الأسماك,75.0,High,Revenue YoY ≤ -10%; 3-year average ≤ -10%/yr
101598975,2024,الزراعة والحراجة وصيد الأسماك,0.0,Stable,
101598975,2025,الزراعة والحراجة وصيد الأسماك,15.0,Stable,Employees YoY ≤ -10%
101920457,2021,الصناعة التحويلية,0.0,Stable,
101920457,2022,الصناعة التحويلية,15.0,Stable,Employees YoY ≤ -10%
101920457,2023,الصناعة التحويلية,75.0,High,Revenue YoY ≤ -10%; 3-year average ≤ -10%/yr
101920457,2024,الصناعة التحويلية,0.0,Stable,
101920457,2025,الصناعة التحويلية,0.0,Stable,
101973190,2021,النقل والتخزين,0.0,Stable,
101973190,2022,النقل والتخزين,0.0,Stable,
101973190,2023,النقل والتخزين,75.0,High,Revenue YoY ≤ -10%; 3-year average ≤ -10%/yr
101973190,2024,النقل والتخزين,0.0,Stable,
101973190,2025,النقل والتخزين,0.0,Stable,
102037501,2021,الأنشطة المهنية والعلمية والتقنية,0.0,Stable,
102037501,2022,الأنشطة المهنية والعلمية والتقنية,0.0,Stable,
102037501,2023,الأنشطة المهنية والعلمية والتقنية,40.0,Watchlist,Revenue YoY ≤ -10%
102037501,2024,الأنشطة المهنية والعلمية والتقنية,0.0,Stable,
102037501,2025,الأنشطة المهنية والعلمية والتقنية,0.0,Stable,
102059269,2024,الصناعة التحويلية,0.0,Stable,
102059269,2025,الصناعة التحويلية,0.0,Stable,
102273419,2022,أنشطة الخدمات الأخرى,0.0,Stable,
102273419,2023,أنشطة الخدمات الأخرى,40.0,Watchlist,Revenue YoY ≤ -10%
102273419,2024,أنشطة الخدمات الأخرى,35.0,Stable,3-year average ≤ -10%/yr
102273419,2025,أنشطة الخدمات الأخرى,0.0,Stable,
102393120,2021,الصناعة التحويلية,0.0,Stable,
102393120,2022,الصناعة التحويلية,0.0,Stable,
102393120,2023,الصناعة التحويلية,75.0,High,Revenue YoY ≤ -10%; 3-year average ≤ -10%/yr
102393120,2024,الصناعة التحويلية,0.0,Stable,
102393120,2025,الصناعة التحويلية,0.0,Stable,
102626897,2021,أنشطة الخدمات الأخرى,0.0,Stable,
102626897,2022,أنشطة الخدمات الأخرى,15.0,Stable,Employees YoY ≤ -10%
102626897,2023,أنشطة الخدمات الأخرى,75.0,High,Revenue YoY ≤ -10%; 3-year average ≤ -10%/yr
102626897,2024,أنشطة الخدمات الأخرى,0.0,Stable,
102626897,2025,أنشطة الخدمات الأخرى,0.0,Stable,
102868712,2021,الصناعة التحويلية,0.0,Stable,
102868712,2022,الصناعة التحويلية,0.0,Stable,
102868712,2023,الصناعة التحويلية,75.0,High,Revenue YoY ≤ -10%; 3-year average ≤ -10%/yr
102868712,2024,الصناعة التحويلية,0.0,Stable,
102868712,2025,الصناعة التحويلية,40.0,Watchlist,Revenue YoY ≤ -10%
102923138,2021,التشييد والبناء,0.0,Stable,
102923138,2022,التشييد والبناء,0.0,Stable,
102923138,2023,التشييد والبناء,40.0,Watchlist,Revenue YoY ≤ -10%
102923138,2024,التشييد والبناء,0.0,Stable,
102923138,2025,التشييد والبناء,0.0,Stable,
102991966,2022,أنشطة الخدمات الإدارية وخدمات الدعم,0.0,Stable,
102991966,2023,أنشطة الخدمات الإدارية وخدمات الدعم,40.0,Watchlist,Revenue YoY ≤ -10%
102991966,2024,أنشطة الخدمات الإدارية وخدمات الدعم,75.0,High,Revenue YoY ≤ -10%; 3-year average ≤ -10%/yr
102991966,2025,أنشطة الخدمات الإدارية وخدمات الدعم,0.0,Stable,
103110583,2021,النقل والتخزين,0.0,Stable,
103110583,2022,النقل والتخزين,0.0,Stable,
103110583,2023,النقل والتخزين,40.0,Watchlist,Revenue YoY ≤ -10%
103110583,2024,النقل والتخزين,0.0,Stable,
103110583,2025,النقل والتخزين,0.0,Stable,
103183091,2021,الصناعة التحويلية,0.0,Stable,
103183091,2022,الصناعة التحويلية,0.0,Stable,
103183091,2023,الصناعة التحويلية,75.0,High,Revenue YoY ≤ -10%; 3-year average ≤ -10%/yr
103183091,2024,الصناعة التحويلية,0.0,Stable,
103183091,2025,الصناعة التحويلية,0.0,Stable,
103302939,2021,النقل والتخزين,0.0,Stable,
103302939,2022,النقل والتخزين,0.0,Stable,
103302939,2023,النقل والتخزين,75.0,High,Revenue YoY ≤ -10%; 3-year average ≤ -10%/yr
103302939,2024,النقل والتخزين,0.0,Stable,
103302939,2025,النقل والتخزين,0.0,Stable,
103430462,2021,الصناعة التحويلية,0.0,Stable,
103430462,2022,الصناعة التحويلية,0.0,Stable,
103430462,2023,الصناعة التحويلية,75.0,High,Revenue YoY ≤ -10%; 3-year average ≤ -10%/yr
103430462,2024,الصناعة التحويلية,35.0,Stable,3-year average ≤ -10%/yr
103430462,2025,الصناعة التحويلية,0.0,Stable,
103684670,2021,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,0.0,Stable,
103684670,2022,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,0.0,Stable,
103684670,2023,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,75.0,High,Revenue YoY ≤ -10%; 3-year average ≤ -10%/yr
103684670,2024,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,35.0,Stable,3-year average ≤ -10%/yr
103684670,2025,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,0.0,Stable,
103840049,2021,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,0.0,Stable,
103840049,2022,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,0.0,Stable,
103840049,2023,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,75.0,High,Revenue YoY ≤ -10%; 3-year average ≤ -10%/yr
103840049,2024,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,75.0,High,Revenue YoY ≤ -10%; 3-year average ≤ -10%/yr
103840049,2025,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,0.0,Stable,
104127051,2023,الأنشطة العقارية,0.0,Stable,
104127051,2024,الأنشطة العقارية,40.0,Watchlist,Revenue YoY ≤ -10%
104127051,2025,الأنشطة العقارية,35.0,Stable,3-year average ≤ -10%/yr
104179620,2024,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,0.0,Stable,
104179620,2025,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,0.0,Stable,
104284890,2023,الصناعة التحويلية,0.0,Stable,
104284890,2024,الصناعة التحويلية,40.0,Watchlist,Revenue YoY ≤ -10%
104284890,2025,الصناعة التحويلية,0.0,Stable,
104324585,2023,أنشطة الخدمات الأخرى,0.0,Stable,
104324585,2024,أنشطة الخدمات الأخرى,40.0,Watchlist,Revenue YoY ≤ -10%
