اسم_الشركة,السنة,القطاع,فئة_SME,score,size_mean,size_median,size_std,gap_to_size_mean,rank_within_size_segment,count_in_size_segment,percentile_within_size_segment
الجيزة لوجستيات محدودة,2021,أنشطة الأسر المعيشية كأصحاب عمل؛ أنشطة إنتاج السلع والخدمات للاستخدام الخاص,medium,7.74,6.5,7.2,1.3419,1.24,1,5,100.0
الدلتا منسوجات ش.ذ.م.م,2021,أنشطة الأسر المعيشية كأصحاب عمل؛ أنشطة إنتاج السلع والخدمات للاستخدام الخاص,medium,7.24,6.5,7.2,1.3419,0.74,2,5,80.0
حورس زراعة ش.م.م,2021,أنشطة الأسر المعيشية كأصحاب عمل؛ أنشطة إنتاج السلع والخدمات للاستخدام الخاص,medium,7.2,6.5,7.2,1.3419,0.7,3,5,60.0
النيل كيماويات محدودة,2021,أنشطة الأسر المعيشية كأصحاب عمل؛ أنشطة إنتاج السلع والخدمات للاستخدام الخاص,medium,5.88,6.5,7.2,1.3419,-0.62,4,5,40.0
مصر بلاستيك محدودة,2021,أنشطة الأسر المعيشية كأصحاب عمل؛ أنشطة إنتاج السلع والخدمات للاستخدام الخاص,medium,4.44,6.5,7.2,1.3419,-2.06,5,5,20.0
القاهرة خدمات محدودة,2021,أنشطة الأسر المعيشية كأصحاب عمل؛ أنشطة إنتاج السلع والخدمات للاستخدام الخاص,small,4.72,4.32,4.36,0.3541,0.4,1,5,100.0
الأهرام أغذية ش.ذ.م.م,2021,أنشطة الأسر المعيشية كأصحاب عمل؛ أنشطة إنتاج السلع والخدمات للاستخدام الخاص,small,4.56,4.32,4.36,0.3541,0.24,2,5,80.0
حورس صلب ذ.م.م,2021,أنشطة الأسر المعيشية كأصحاب عمل؛ أنشطة إنتاج السلع والخدمات للاستخدام الخاص,small,4.36,4.32,4.36,0.3541,0.04,3,5,60.0
مصر بلاستيك ذ.م.م,2021,أنشطة الأسر المعيشية كأصحاب عمل؛ أنشطة إنتاج السلع والخدمات للاستخدام الخاص,small,4.14,4.32,4.36,0.3541,-0.18,4,5,40.0
حورس منسوجات محدودة,2021,أنشطة الأسر المعيشية كأصحاب عمل؛ أنشطة إنتاج السلع والخدمات للاستخدام الخاص,small,3.82,4.32,4.36,0.3541,-0.5,5,5,20.0
الإسكندرية صلب ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,7.62,6.0215,5.955,0.7484,1.5985,1,122,100.0
القاهرة تجارة ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,7.56,6.0215,5.955,0.7484,1.5385,2,122,99.18
الأهرام تقنية ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,7.45,6.0215,5.955,0.7484,1.4285,3,122,98.36
الدلتا تقنية ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,7.43,6.0215,5.955,0.7484,1.4085,4,122,97.54
سيناء خدمات ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,7.37,6.0215,5.955,0.7484,1.3485,5,122,96.72
القاهرة زراعة ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,7.34,6.0215,5.955,0.7484,1.3185,6,122,95.9
الجيزة لوجستيات ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,7.33,6.0215,5.955,0.7484,1.3085,7,122,95.08
الإسكندرية لوجستيات ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,7.26,6.0215,5.955,0.7484,1.2385,8,122,94.26
الدلتا زراعة ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,7.25,6.0215,5.955,0.7484,1.2285,9,122,93.44
النيل زراعة محدودة,2021,أنشطة الإقامة وخدمات الطعام,medium,7.24,6.0215,5.955,0.7484,1.2185,10,122,92.62
اللوتس خدمات ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,7.2,6.0215,5.955,0.7484,1.1785,11,122,91.8
اللوتس خدمات ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,7.14,6.0215,5.955,0.7484,1.1185,12,122,90.98
الجيزة بلاستيك محدودة,2021,أنشطة الإقامة وخدمات الطعام,medium,7.1,6.0215,5.955,0.7484,1.0785,14,122,89.34
القاهرة بلاستيك ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,7.1,6.0215,5.955,0.7484,1.0785,14,122,89.34
حورس تقنية ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,7.1,6.0215,5.955,0.7484,1.0785,14,122,89.34
الإسكندرية بلاستيك ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,7.05,6.0215,5.955,0.7484,1.0285,16,122,87.7
الجيزة صلب ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,7.04,6.0215,5.955,0.7484,1.0185,17,122,86.89
حورس تجارة ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.99,6.0215,5.955,0.7484,0.9685,18,122,85.66
حورس منسوجات ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.99,6.0215,5.955,0.7484,0.9685,18,122,85.66
الدلتا زراعة ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.91,6.0215,5.955,0.7484,0.8885,20,122,84.43
سيناء زراعة ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.9,6.0215,5.955,0.7484,0.8785,21,122,83.61
الدلتا تقنية ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.74,6.0215,5.955,0.7484,0.7185,22,122,82.79
القاهرة زراعة محدودة,2021,أنشطة الإقامة وخدمات الطعام,medium,6.71,6.0215,5.955,0.7484,0.6885,23,122,81.97
الإسكندرية منسوجات ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.69,6.0215,5.955,0.7484,0.6685,24,122,81.15
الأهرام أغذية محدودة,2021,أنشطة الإقامة وخدمات الطعام,medium,6.63,6.0215,5.955,0.7484,0.6085,25,122,80.33
الإسكندرية كيماويات ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.61,6.0215,5.955,0.7484,0.5885,26,122,79.51
الدلتا تقنية محدودة,2021,أنشطة الإقامة وخدمات الطعام,medium,6.59,6.0215,5.955,0.7484,0.5685,27,122,78.28
القاهرة كيماويات ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.59,6.0215,5.955,0.7484,0.5685,27,122,78.28
الجيزة منسوجات محدودة,2021,أنشطة الإقامة وخدمات الطعام,medium,6.54,6.0215,5.955,0.7484,0.5185,29,122,77.05
سيناء بلاستيك ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.48,6.0215,5.955,0.7484,0.4585,30,122,75.82
الجيزة كيماويات ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.48,6.0215,5.955,0.7484,0.4585,30,122,75.82
الإسكندرية تقنية ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.41,6.0215,5.955,0.7484,0.3885,32,122,74.59
حورس صلب محدودة,2021,أنشطة الإقامة وخدمات الطعام,medium,6.4,6.0215,5.955,0.7484,0.3785,33,122,73.77
مصر تجارة ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.38,6.0215,5.955,0.7484,0.3585,34,122,72.95
الإسكندرية زراعة ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.37,6.0215,5.955,0.7484,0.3485,35,122,72.13
القاهرة لوجستيات محدودة,2021,أنشطة الإقامة وخدمات الطعام,medium,6.36,6.0215,5.955,0.7484,0.3385,36,122,71.31
اللوتس بلاستيك ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.34,6.0215,5.955,0.7484,0.3185,37,122,70.08
حورس أغذية ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.34,6.0215,5.955,0.7484,0.3185,37,122,70.08
الإسكندرية صلب ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.32,6.0215,5.955,0.7484,0.2985,39,122,68.85
الدلتا تقنية ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.31,6.0215,5.955,0.7484,0.2885,40,122,67.62
اللوتس تقنية ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.31,6.0215,5.955,0.7484,0.2885,40,122,67.62
النيل تقنية ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.3,6.0215,5.955,0.7484,0.2785,42,122,66.39
حورس أغذية ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.24,6.0215,5.955,0.7484,0.2185,43,122,65.57
حورس زراعة ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.22,6.0215,5.955,0.7484,0.1985,44,122,64.34
الدلتا كيماويات ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.22,6.0215,5.955,0.7484,0.1985,44,122,64.34
النيل زراعة ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.18,6.0215,5.955,0.7484,0.1585,46,122,63.11
الإسكندرية تقنية ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.16,6.0215,5.955,0.7484,0.1385,47,122,62.3
الدلتا كيماويات ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.15,6.0215,5.955,0.7484,0.1285,48,122,61.07
الجيزة كيماويات محدودة,2021,أنشطة الإقامة وخدمات الطعام,medium,6.15,6.0215,5.955,0.7484,0.1285,48,122,61.07
القاهرة أغذية ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.14,6.0215,5.955,0.7484,0.1185,50,122,59.84
سيناء تجارة ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.13,6.0215,5.955,0.7484,0.1085,51,122,59.02
مصر أغذية محدودة,2021,أنشطة الإقامة وخدمات الطعام,medium,6.11,6.0215,5.955,0.7484,0.0885,52,122,58.2
القاهرة زراعة ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.06,6.0215,5.955,0.7484,0.0385,53,122,56.97
الإسكندرية زراعة ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.06,6.0215,5.955,0.7484,0.0385,53,122,56.97
النيل أغذية ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.05,6.0215,5.955,0.7484,0.0285,55,122,55.33
الجيزة كيماويات ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.05,6.0215,5.955,0.7484,0.0285,55,122,55.33
الأهرام تجارة محدودة,2021,أنشطة الإقامة وخدمات الطعام,medium,6.04,6.0215,5.955,0.7484,0.0185,57,122,54.1
سيناء بلاستيك محدودة,2021,أنشطة الإقامة وخدمات الطعام,medium,6.03,6.0215,5.955,0.7484,0.0085,58,122,53.28
الجيزة تقنية ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,6.01,6.0215,5.955,0.7484,-0.0115,59,122,52.46
النيل لوجستيات محدودة,2021,أنشطة الإقامة وخدمات الطعام,medium,5.97,6.0215,5.955,0.7484,-0.0515,60,122,51.64
الإسكندرية تجارة محدودة,2021,أنشطة الإقامة وخدمات الطعام,medium,5.96,6.0215,5.955,0.7484,-0.0615,61,122,50.82
الأهرام زراعة ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.95,6.0215,5.955,0.7484,-0.0715,62,122,50.0
سيناء منسوجات ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.93,6.0215,5.955,0.7484,-0.0915,63,122,49.18
اللوتس بلاستيك ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.91,6.0215,5.955,0.7484,-0.1115,64,122,48.36
النيل لوجستيات محدودة,2021,أنشطة الإقامة وخدمات الطعام,medium,5.85,6.0215,5.955,0.7484,-0.1715,65,122,47.13
الجيزة منسوجات محدودة,2021,أنشطة الإقامة وخدمات الطعام,medium,5.85,6.0215,5.955,0.7484,-0.1715,65,122,47.13
اللوتس كيماويات ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.84,6.0215,5.955,0.7484,-0.1815,67,122,45.9
الدلتا زراعة ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.83,6.0215,5.955,0.7484,-0.1915,68,122,45.08
الدلتا منسوجات ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.82,6.0215,5.955,0.7484,-0.2015,69,122,44.26
النيل خدمات ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.81,6.0215,5.955,0.7484,-0.2115,71,122,42.62
اللوتس زراعة ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.81,6.0215,5.955,0.7484,-0.2115,71,122,42.62
اللوتس زراعة ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.81,6.0215,5.955,0.7484,-0.2115,71,122,42.62
النيل منسوجات ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.77,6.0215,5.955,0.7484,-0.2515,73,122,40.98
القاهرة بلاستيك ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.76,6.0215,5.955,0.7484,-0.2615,74,122,40.16
حورس بلاستيك ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.73,6.0215,5.955,0.7484,-0.2915,75,122,39.34
الإسكندرية تقنية ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.71,6.0215,5.955,0.7484,-0.3115,77,122,37.3
الجيزة زراعة ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.71,6.0215,5.955,0.7484,-0.3115,77,122,37.3
القاهرة لوجستيات ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.71,6.0215,5.955,0.7484,-0.3115,77,122,37.3
الإسكندرية بلاستيك ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.71,6.0215,5.955,0.7484,-0.3115,77,122,37.3
الجيزة بلاستيك ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.69,6.0215,5.955,0.7484,-0.3315,80,122,35.25
اللوتس تجارة ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.68,6.0215,5.955,0.7484,-0.3415,81,122,34.43
الدلتا صلب ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.67,6.0215,5.955,0.7484,-0.3515,82,122,33.61
اللوتس صلب محدودة,2021,أنشطة الإقامة وخدمات الطعام,medium,5.66,6.0215,5.955,0.7484,-0.3615,83,122,32.79
الأهرام لوجستيات ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.65,6.0215,5.955,0.7484,-0.3715,85,122,31.15
حورس تقنية محدودة,2021,أنشطة الإقامة وخدمات الطعام,medium,5.65,6.0215,5.955,0.7484,-0.3715,85,122,31.15
اللوتس أغذية محدودة,2021,أنشطة الإقامة وخدمات الطعام,medium,5.65,6.0215,5.955,0.7484,-0.3715,85,122,31.15
القاهرة تجارة محدودة,2021,أنشطة الإقامة وخدمات الطعام,medium,5.64,6.0215,5.955,0.7484,-0.3815,87,122,29.51
القاهرة كيماويات ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.63,6.0215,5.955,0.7484,-0.3915,88,122,28.69
النيل كيماويات ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.61,6.0215,5.955,0.7484,-0.4115,90,122,27.05
الدلتا زراعة ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.61,6.0215,5.955,0.7484,-0.4115,90,122,27.05
الجيزة منسوجات ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.61,6.0215,5.955,0.7484,-0.4115,90,122,27.05
