القطاع,السنة,industry_score,industry_score_prev,industry_yoy_change,industry_score_3yr_avg,industry_score_3yr_slope,industry_rank_within_year
أنشطة الأسر المعيشية كأصحاب عمل؛ أنشطة إنتاج السلع والخدمات للاستخدام الخاص,2021,5.41,,,,,2
أنشطة الأسر المعيشية كأصحاب عمل؛ أنشطة إنتاج السلع والخدمات للاستخدام الخاص,2022,5.453636363636364,5.41,0.0436,,,2
أنشطة الأسر المعيشية كأصحاب عمل؛ أنشطة إنتاج السلع والخدمات للاستخدام الخاص,2023,5.454545454545454,5.453636363636364,0.0009,5.4394,0.0223,2
أنشطة الأسر المعيشية كأصحاب عمل؛ أنشطة إنتاج السلع والخدمات للاستخدام الخاص,2024,5.329285714285715,5.454545454545454,-0.1253,5.4125,-0.0622,2
أنشطة الأسر المعيشية كأصحاب عمل؛ أنشطة إنتاج السلع والخدمات للاستخدام الخاص,2025,5.327857142857143,5.329285714285715,-0.0014,5.3706,-0.0633,2
أنشطة الإقامة وخدمات الطعام,2021,5.0107006369426745,,,,,12
أنشطة الإقامة وخدمات الطعام,2022,5.014837758112094,5.0107006369426745,0.0041,,,12
أنشطة الإقامة وخدمات الطعام,2023,5.0140389972144845,5.014837758112094,-0.0008,5.0132,0.0017,12
أنشطة الإقامة وخدمات الطعام,2024,5.01343163538874,5.0140389972144845,-0.0006,5.0141,-0.0007,13
أنشطة الإقامة وخدمات الطعام,2025,5.013567567567567,5.01343163538874,0.0001,5.0137,-0.0002,12
أنشطة الخدمات الأخرى,2021,5.008886075949367,,,,,16
أنشطة الخدمات الأخرى,2022,5.011666666666666,5.008886075949367,0.0028,,,16
أنشطة الخدمات الأخرى,2023,5.011010989010989,5.011666666666666,-0.0007,5.0105,0.0011,15
أنشطة الخدمات الأخرى,2024,5.010590717299578,5.011010989010989,-0.0004,5.0111,-0.0005,16
أنشطة الخدمات الأخرى,2025,5.0105919661733616,5.010590717299578,0.0,5.0107,-0.0002,17
أنشطة الخدمات الإدارية وخدمات الدعم,2021,5.010297619047619,,,,,14
أنشطة الخدمات الإدارية وخدمات الدعم,2022,5.014566473988439,5.010297619047619,0.0043,,,13
أنشطة الخدمات الإدارية وخدمات الدعم,2023,5.013715846994535,5.014566473988439,-0.0009,5.0129,0.0017,13
أنشطة الخدمات الإدارية وخدمات الدعم,2024,5.013653333333333,5.013715846994535,-0.0001,5.014,-0.0005,12
أنشطة الخدمات الإدارية وخدمات الدعم,2025,5.013458445040214,5.013653333333333,-0.0002,5.0136,-0.0001,13
أنشطة المنظمات والهيئات خارج الإقليم,2021,5.63,,,,,1
أنشطة المنظمات والهيئات خارج الإقليم,2022,5.62375,5.63,-0.0062,,,1
أنشطة المنظمات والهيئات خارج الإقليم,2023,5.62375,5.62375,0.0,5.6258,-0.0031,1
أنشطة المنظمات والهيئات خارج الإقليم,2024,5.625,5.62375,0.0012,5.6242,0.0006,1
أنشطة المنظمات والهيئات خارج الإقليم,2025,5.626250000000001,5.625,0.0013,5.625,0.0013,1
إمدادات الكهرباء والغاز والبخار وتكييف الهواء,2021,5.0543037974683545,,,,,5
إمدادات الكهرباء والغاز والبخار وتكييف الهواء,2022,5.062250000000001,5.0543037974683545,0.0079,,,6
إمدادات الكهرباء والغاز والبخار وتكييف الهواء,2023,5.062375,5.062250000000001,0.0001,5.0596,0.004,6
إمدادات الكهرباء والغاز والبخار وتكييف الهواء,2024,5.056590909090909,5.062375,-0.0058,5.0604,-0.0028,6
إمدادات الكهرباء والغاز والبخار وتكييف الهواء,2025,5.057906976744186,5.056590909090909,0.0013,5.059,-0.0022,5
إمدادات المياه؛ الصرف الصحي وإدارة النفايات ومعالجتها,2021,5.06734375,,,,,4
إمدادات المياه؛ الصرف الصحي وإدارة النفايات ومعالجتها,2022,5.075757575757576,5.06734375,0.0084,,,4
إمدادات المياه؛ الصرف الصحي وإدارة النفايات ومعالجتها,2023,5.072608695652174,5.075757575757576,-0.0031,5.0719,0.0026,4
إمدادات المياه؛ الصرف الصحي وإدارة النفايات ومعالجتها,2024,5.068493150684931,5.072608695652174,-0.0041,5.0723,-0.0036,4
إمدادات المياه؛ الصرف الصحي وإدارة النفايات ومعالجتها,2025,5.068630136986301,5.068493150684931,0.0001,5.0699,-0.002,4
الأنشطة العقارية,2021,5.01624031007752,,,,,9
الأنشطة العقارية,2022,5.018872180451128,5.01624031007752,0.0026,,,10
الأنشطة العقارية,2023,5.017781690140845,5.018872180451128,-0.0011,5.0176,0.0008,10
الأنشطة العقارية,2024,5.0175,5.017781690140845,-0.0003,5.0181,-0.0007,9
الأنشطة العقارية,2025,5.017351916376307,5.0175,-0.0001,5.0175,-0.0002,9
الأنشطة المالية وأنشطة التأمين,2021,5.015325203252033,,,,,10
الأنشطة المالية وأنشطة التأمين,2022,5.019616858237549,5.015325203252033,0.0043,,,9
الأنشطة المالية وأنشطة التأمين,2023,5.018321167883212,5.019616858237549,-0.0013,5.0178,0.0015,9
الأنشطة المالية وأنشطة التأمين,2024,5.01740614334471,5.018321167883212,-0.0009,5.0184,-0.0011,10
الأنشطة المالية وأنشطة التأمين,2025,5.017216494845361,5.01740614334471,-0.0002,5.0176,-0.0006,10
الأنشطة المهنية والعلمية والتقنية,2021,5.007942583732058,,,,,17
الأنشطة المهنية والعلمية والتقنية,2022,5.011017699115044,5.007942583732058,0.0031,,,18
الأنشطة المهنية والعلمية والتقنية,2023,5.010376569037657,5.011017699115044,-0.0006,5.0098,0.0012,18
الأنشطة المهنية والعلمية والتقنية,2024,5.00986220472441,5.010376569037657,-0.0005,5.0104,-0.0006,18
الأنشطة المهنية والعلمية والتقنية,2025,5.009822134387352,5.00986220472441,-0.0,5.01,-0.0003,18
الإدارة العامة والدفاع؛ الضمان الاجتماعي الإلزامي,2021,5.258235294117647,,,,,3
الإدارة العامة والدفاع؛ الضمان الاجتماعي الإلزامي,2022,5.277777777777778,5.258235294117647,0.0195,,,3
الإدارة العامة والدفاع؛ الضمان الاجتماعي الإلزامي,2023,5.277777777777778,5.277777777777778,0.0,5.2713,0.0098,3
الإدارة العامة والدفاع؛ الضمان الاجتماعي الإلزامي,2024,5.262105263157895,5.277777777777778,-0.0157,5.2726,-0.0078,3
الإدارة العامة والدفاع؛ الضمان الاجتماعي الإلزامي,2025,5.262631578947368,5.262105263157895,0.0005,5.2675,-0.0076,3
التشييد والبناء,2021,5.005648967551623,,,,,19
التشييد والبناء,2022,5.006844319775596,5.005648967551623,0.0012,,,19
التشييد والبناء,2023,5.00675567423231,5.006844319775596,-0.0001,5.0064,0.0006,19
التشييد والبناء,2024,5.006204287515763,5.00675567423231,-0.0006,5.0066,-0.0003,19
التشييد والبناء,2025,5.006417721518988,5.006204287515763,0.0002,5.0065,-0.0002,19
التعدين واستغلال المحاجر,2021,5.05,,,,,6
التعدين واستغلال المحاجر,2022,5.055444444444444,5.05,0.0054,,,7
التعدين واستغلال المحاجر,2023,5.0514432989690725,5.055444444444444,-0.004,5.0523,0.0007,7
التعدين واستغلال المحاجر,2024,5.05,5.0514432989690725,-0.0014,5.0523,-0.0027,7
التعدين واستغلال المحاجر,2025,5.05080808080808,5.05,0.0008,5.0508,-0.0003,7
التعليم,2021,5.0201714285714285,,,,,8
التعليم,2022,5.026577540106952,5.0201714285714285,0.0064,,,8
التعليم,2023,5.025612244897959,5.026577540106952,-0.001,5.0241,0.0027,8
التعليم,2024,5.024154589371981,5.025612244897959,-0.0015,5.0254,-0.0012,8
التعليم,2025,5.024514563106796,5.024154589371981,0.0004,5.0248,-0.0005,8
الزراعة والحراجة وصيد الأسماك,2021,5.010322580645162,,,,,13
الزراعة والحراجة وصيد الأسماك,2022,5.011943127962085,5.010322580645162,0.0016,,,14
الزراعة والحراجة وصيد الأسماك,2023,5.0115454545454545,5.011943127962085,-0.0004,5.0113,0.0006,14
الزراعة والحراجة وصيد الأسماك,2024,5.010807860262008,5.0115454545454545,-0.0007,5.0114,-0.0006,14
الزراعة والحراجة وصيد الأسماك,2025,5.011057268722467,5.010807860262008,0.0002,5.0111,-0.0002,14
الصحة البشرية والعمل الاجتماعي,2021,5.012879377431906,,,,,11
الصحة البشرية والعمل الاجتماعي,2022,5.018248175182482,5.012879377431906,0.0054,,,11
الصحة البشرية والعمل الاجتماعي,2023,5.017508650519031,5.018248175182482,-0.0007,5.0162,0.0023,11
الصحة البشرية والعمل الاجتماعي,2024,5.016407766990291,5.017508650519031,-0.0011,5.0174,-0.0009,11
الصحة البشرية والعمل الاجتماعي,2025,5.016440129449838,5.016407766990291,0.0,5.0168,-0.0005,11
الصناعة التحويلية,2021,5.0034813499111905,,,,,20
الصناعة التحويلية,2022,5.004319327731093,5.0034813499111905,0.0008,,,20
الصناعة التحويلية,2023,5.003964401294498,5.004319327731093,-0.0004,5.0039,0.0002,20
الصناعة التحويلية,2024,5.003790446841294,5.003964401294498,-0.0002,5.004,-0.0003,20
الصناعة التحويلية,2025,5.003908313908314,5.003790446841294,0.0001,5.0039,-0.0,20
الفنون والترفيه والتسلية,2021,5.046197183098591,,,,,7
الفنون والترفيه والتسلية,2022,5.0659210526315785,5.046197183098591,0.0197,,,5
الفنون والترفيه والتسلية,2023,5.063000000000001,5.0659210526315785,-0.0029,5.0584,0.0084,5
الفنون والترفيه والتسلية,2024,5.058372093023255,5.063000000000001,-0.0046,5.0624,-0.0038,5
الفنون والترفيه والتسلية,2025,5.057325581395349,5.058372093023255,-0.001,5.0596,-0.0028,6
المعلومات والاتصالات,2021,5.007549504950495,,,,,18
المعلومات والاتصالات,2022,5.011860465116279,5.007549504950495,0.0043,,,15
المعلومات والاتصالات,2023,5.010901098901099,5.011860465116279,-0.001,5.0101,0.0017,16
المعلومات والاتصالات,2024,5.010530785562633,5.010901098901099,-0.0004,5.0111,-0.0007,17
المعلومات والاتصالات,2025,5.010835117773019,5.010530785562633,0.0003,5.0108,-0.0,16
النقل والتخزين,2021,5.009066985645933,,,,,15
النقل والتخزين,2022,5.011464530892449,5.009066985645933,0.0024,,,17
النقل والتخزين,2023,5.010901098901099,5.011464530892449,-0.0006,5.0105,0.0009,16
النقل والتخزين,2024,5.010602150537634,5.010901098901099,-0.0003,5.011,-0.0004,15
النقل والتخزين,2025,5.010883620689656,5.010602150537634,0.0003,5.0108,-0.0,15
تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,2021,5.001584028082492,,,,,21
تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,2022,5.002043460091935,5.001584028082492,0.0005,,,21
تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,2023,5.00204446208813,5.002043460091935,0.0,5.0019,0.0002,21
تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,2024,5.0019682059046175,5.00204446208813,-0.0001,5.002,-0.0,21
