sector_en,sector_ar,sector_code,division_ar,division_code,group_ar,group_code,class_en,class_ar,class_code
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,"Growing of cereals (except rice), leguminous crops and oil seeds", زراعة الحبوب باستثناء الأرز( والمحاصيل البقولية والبذور الزيتية),A0111
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,Growing of rice, زراعة الأرز,A0112
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,"Growing of vegetables and melons, roots and tubers", زراعة الخضر والبطيخيات والجذور والدرنات,A0113
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,Growing of sugar cane, زراعة قصب السكر,A0114
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,Growing of tobacco, زراعة التبغ,A0115
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,Growing of fibre crops, زراعة محاصيل الألياف,A0116
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,Growing of other non-perennial crops, زراعة المحاصيل الأخرى غير الدائمة,A0119
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,Growing of grapes, زراعة الأعناب,A0121
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,Growing of tropical and subtropical fruits, زراعة الفواكه المدارية وشبه المدارية,A0122
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,Growing of citrus fruits, زراعة الحمضيات (الموالح),A0123
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,Growing of pome fruits and stone fruits, زراعة الثمار التفاحية والثمار ذات النواة,A0124
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,Growing of other tree and bush fruits and nuts, زراعة أشجار وشجيرات الفاكهة الأخرى والجوزيات,A0125
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,Growing of oleaginous fruits, زراعة الثمار الزيتية,A0126
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,Growing of beverage crops, زراعة محاصيل المشروبات,A0127
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,"Growing of spices, aromatic, drug and pharmaceutical crops", زراعة التوابل والمحاصيل العطرية ومحاصيل العقاقير والمحاصيل الصيدلانية,A0128
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,Growing of other perennial crops, زراعة المحاصيل الدائمة الأخرى,A0129
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,Plant propagation,  إكثار النباتات,A0130
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,Raising of cattle and buffaloes, تربية الماشية والجاموس,A0141
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,Raising of horses and other equines, تربية الخيول والحيوانات الخيلية الأخرى,A0142
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,Raising of camels and camelids, تربية الجمال والحيوانات الجملية,A0143
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,Raising of sheep and goats, تربية الضأن والماعز,A0144
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,Raising of swine/pigs, تربية الخنازير,A0145
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,Raising of poultry, تربية الدواجن,A0146
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,Raising of other animals, تربية الحيوانات الأخرى,A0149
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,Mixed farming,  الزراعة المختلطة,A0150
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,Support activities for crop production, أنشطة الدعم لإنتاج المحاصيل,A0161
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,Support activities for animal production, أنشطة الدعم للإنتاج الحيواني,A0162
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,Post-harvest crop activities, أنشطة محاصيل بعد الحصاد,A0163
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,Seed processing for propagation, معالجة البذور للتكاثر,A0164
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A01,"Hunting, trapping and related service activities", الصيد والقنص وأنشطة الخدمات المتصلة,A0170
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A02,Silviculture and other forestry activities,  زراعة الأحراج وأنشطة الحراجة الأخرى,A0210
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A02,Logging,  قطع الأخشاب,A0220
