firm_id,year,industry,class_code,class_name,risk_score,band,reason_codes,forecast_close_risk
100013698,2021,الصناعة التحويلية,C1071, صُنع منتجات المخابز,0.0,Stable,,Low
100013698,2022,الصناعة التحويلية,C1071, صُنع منتجات المخابز,0.0,Stable,,Low
100013698,2023,الصناعة التحويلية,C1071, صُنع منتجات المخابز,75.0,High,Revenue YoY ≤ -10%; 3y direction ≤ -10%/yr,High
100013698,2024,الصناعة التحويلية,C1071, صُنع منتجات المخابز,0.0,Stable,,Low
100013698,2025,الصناعة التحويلية,C1071, صُنع منتجات المخابز,0.0,Stable,,Low
100116684,2021,الأنشطة المهنية والعلمية والتقنية,M7120,  الاختبارات والتحاليل التقنية,0.0,Stable,,Low
100116684,2022,الأنشطة المهنية والعلمية والتقنية,M7120,  الاختبارات والتحاليل التقنية,0.0,Stable,,Low
100116684,2023,الأنشطة المهنية والعلمية والتقنية,M7120,  الاختبارات والتحاليل التقنية,40.0,Watchlist,Revenue YoY ≤ -10%,Low
100116684,2024,الأنشطة المهنية والعلمية والتقنية,M7120,  الاختبارات والتحاليل التقنية,0.0,Stable,,Low
100116684,2025,الأنشطة المهنية والعلمية والتقنية,M7120,  الاختبارات والتحاليل التقنية,0.0,Stable,,Low
100149975,2021,أنشطة الإقامة وخدمات الطعام,I5590,  مرافق الإقامة الأخرى,0.0,Stable,,Low
100149975,2022,أنشطة الإقامة وخدمات الطعام,I5590,  مرافق الإقامة الأخرى,0.0,Stable,,Low
100149975,2023,أنشطة الإقامة وخدمات الطعام,I5590,  مرافق الإقامة الأخرى,40.0,Watchlist,Revenue YoY ≤ -10%,Low
100149975,2024,أنشطة الإقامة وخدمات الطعام,I5590,  مرافق الإقامة الأخرى,0.0,Stable,,Low
100149975,2025,أنشطة الإقامة وخدمات الطعام,I5590,  مرافق الإقامة الأخرى,0.0,Stable,,Low
100233326,2021,أنشطة الإقامة وخدمات الطعام,I5610,  أنشطة المطاعم وخدمات الأطعمة المتنقلة,0.0,Stable,,Low
100233326,2022,أنشطة الإقامة وخدمات الطعام,I5610,  أنشطة المطاعم وخدمات الأطعمة المتنقلة,0.0,Stable,,Low
100233326,2023,أنشطة الإقامة وخدمات الطعام,I5610,  أنشطة المطاعم وخدمات الأطعمة المتنقلة,40.0,Watchlist,Revenue YoY ≤ -10%,Low
100233326,2024,أنشطة الإقامة وخدمات الطعام,I5610,  أنشطة المطاعم وخدمات الأطعمة المتنقلة,0.0,Stable,,Low
100233326,2025,أنشطة الإقامة وخدمات الطعام,I5610,  أنشطة المطاعم وخدمات الأطعمة المتنقلة,0.0,Stable,,Low
100271416,2021,الأنشطة المهنية والعلمية والتقنية,M7120,  الاختبارات والتحاليل التقنية,0.0,Stable,,Low
100271416,2022,الأنشطة المهنية والعلمية والتقنية,M7120,  الاختبارات والتحاليل التقنية,0.0,Stable,,Low
100271416,2023,الأنشطة المهنية والعلمية والتقنية,M7120,  الاختبارات والتحاليل التقنية,75.0,High,Revenue YoY ≤ -10%; 3y direction ≤ -10%/yr,High
100271416,2024,الأنشطة المهنية والعلمية والتقنية,M7120,  الاختبارات والتحاليل التقنية,0.0,Stable,,Low
100271416,2025,الأنشطة المهنية والعلمية والتقنية,M7120,  الاختبارات والتحاليل التقنية,0.0,Stable,,Low
100400180,2022,الصناعة التحويلية,C1512, صُنع حقائب الأمتعة وحقائب اليد وما شابهها، والسروج والأعنة,0.0,Stable,,Low
100400180,2023,الصناعة التحويلية,C1512, صُنع حقائب الأمتعة وحقائب اليد وما شابهها، والسروج والأعنة,40.0,Watchlist,Revenue YoY ≤ -10%,Low
100400180,2024,الصناعة التحويلية,C1512, صُنع حقائب الأمتعة وحقائب اليد وما شابهها، والسروج والأعنة,35.0,Stable,3y direction ≤ -10%/yr,Low
100400180,2025,الصناعة التحويلية,C1512, صُنع حقائب الأمتعة وحقائب اليد وما شابهها، والسروج والأعنة,0.0,Stable,,Low
100414406,2022,المعلومات والاتصالات,J5819, أنشطة النشر الأخرى,0.0,Stable,,Low
