الرقم_الضريبي,السنة,القطاع,القسم_كود,المجموع_كود,الفرع_كود,المبيعات_جنيه,المبيعات_بعد_التضخم,الإيرادات_جنيه,الموظفون,رأس_المال_المدفوع_جنيه,ضريبة_القيمة_المضافة_المتوقعة,ضريبة_القيمة_المضافة_المصرح_بها,عدد الفروع,فئة_SME,سنة_البداية,اسم_الشركة,عمر_المنشأة,نمو_المبيعات,النمو_الحقيقي_للمبيعات,نمو_الموظفين,العائد_على_رأس_المال,score,نسبة_التضخم
100013698,2021,الصناعة التحويلية,C1,C10,C1071,156958783.0,156958783.0,152121223.0,30,11957925.0,21974230.0,20705606.0,1,medium,2009,الجيزة خدمات ذ.م.م,13,,,,12.721372897053628,6.2,0.0
100013698,2022,الصناعة التحويلية,C1,C10,C1071,167620838.0,156276711.51138833,160733853.0,32,11957925.0,23466917.0,17398782.0,1,medium,2009,الجيزة خدمات ذ.م.م,14,0.0679290116565187,-0.0043455452162346475,0.0666666666666666,13.441617421082672,6.97,0.07259
100013698,2023,الصناعة التحويلية,C1,C10,C1071,147289284.0,111640302.58011703,147680257.0,32,11957925.0,22539495.0,22227930.0,1,medium,2009,الجيزة خدمات ذ.م.م,15,-0.1212949072596809,-0.2856241886560207,0.0,12.349990236600414,5.71,0.31932
100013698,2024,الصناعة التحويلية,C1,C10,C1071,155875286.0,114859101.02424288,186452444.0,33,11957925.0,24702215.0,24025168.0,1,medium,2009,الجيزة خدمات ذ.م.م,16,0.0582934600999214,0.028831867790898524,0.03125,15.592374429510135,6.34,0.3571
100013698,2025,الصناعة التحويلية,C1,C10,C1071,159618318.0,128776375.9580476,161902994.0,30,11957925.0,24820524.0,21013395.0,1,medium,2009,الجيزة خدمات ذ.م.م,17,0.0240129920274854,0.12116823838684976,-0.0909090909090909,13.539388648114116,5.78,0.2395
100116684,2021,الأنشطة المهنية والعلمية والتقنية,M7,M71,M7120,58923787.0,58923787.0,60845742.0,62,3936414.0,8249330.0,6308760.0,1,medium,2019,حورس لوجستيات ش.ذ.م.م,3,,,,15.457150086347625,4.75,0.0
100116684,2022,الأنشطة المهنية والعلمية والتقنية,M7,M71,M7120,62315680.0,58098322.751470745,57213052.0,57,3936414.0,8724195.0,7115248.0,1,medium,2019,حورس لوجستيات ش.ذ.م.م,4,0.057564070007924,-0.014009015553077986,-0.0806451612903226,14.534307621098796,4.77,0.07259
100116684,2023,الأنشطة المهنية والعلمية والتقنية,M7,M71,M7120,64851484.0,49155234.51475002,65061615.0,59,3936414.0,9079208.0,9272781.0,1,medium,2019,حورس لوجستيات ش.ذ.م.م,5,0.0406928721631538,-0.15393023091177505,0.0350877192982457,16.528143381260204,5.35,0.31932
100116684,2024,الأنشطة المهنية والعلمية والتقنية,M7,M71,M7120,66049188.0,48669359.66398939,70894469.0,65,3936414.0,9246886.0,8473840.0,1,medium,2019,حورس لوجستيات ش.ذ.م.م,6,0.0184684131515016,-0.009884498681718923,0.1016949152542372,18.009911813137542,5.0,0.3571
100116684,2025,الأنشطة المهنية والعلمية والتقنية,M7,M71,M7120,65123452.0,52540098.42678499,61161474.0,65,3936414.0,9117283.0,8235227.0,1,medium,2019,حورس لوجستيات ش.ذ.م.م,7,-0.0140158573940378,0.07953132709201394,0.0,15.537358113247237,3.98,0.2395
100149975,2021,أنشطة الإقامة وخدمات الطعام,I5,I55,I5590,3907612.0,3907612.0,3648896.0,10,564733.0,547066.0,405536.0,1,small,2017,اللوتس كيماويات ش.م.م,5,,,,6.461276390789984,3.37,0.0
100149975,2022,أنشطة الإقامة وخدمات الطعام,I5,I55,I5590,5540669.0,5165691.457127141,5923425.0,10,564733.0,775694.0,684197.0,1,small,2017,اللوتس كيماويات ش.م.م,6,0.4179168760869809,0.32195608395284414,0.0,10.488894752033262,2.7,0.07259
100149975,2023,أنشطة الإقامة وخدمات الطعام,I5,I55,I5590,5502616.0,4170797.077282236,5719916.0,11,564733.0,770366.0,764236.0,1,small,2017,اللوتس كيماويات ش.م.م,7,-0.0068679432032485,-0.19259655519538277,0.1,10.12853153614186,3.23,0.31932
100149975,2024,أنشطة الإقامة وخدمات الطعام,I5,I55,I5590,5625891.0,4145524.2797140963,5543976.0,10,564733.0,787625.0,637413.0,1,small,2017,اللوتس كيماويات ش.م.م,8,0.0224029806913657,-0.006059464677818371,-0.0909090909090909,9.81698608014761,2.65,0.3571
100149975,2025,أنشطة الإقامة وخدمات الطعام,I5,I55,I5590,5785495.0,4667603.872529246,5509771.0,12,564733.0,809969.0,651229.0,1,small,2017,اللوتس كيماويات ش.م.م,9,0.0283695507076122,0.12593813413900823,0.1999999999999999,9.756417634528177,3.95,0.2395
100233326,2021,أنشطة الإقامة وخدمات الطعام,I5,I56,I5610,49913053.0,49913053.0,49111628.0,81,4338080.0,6987827.0,6852005.0,1,small,2011,اللوتس لوجستيات ش.ذ.م.م,11,,,,11.321051709512044,5.36,0.0
100233326,2022,أنشطة الإقامة وخدمات الطعام,I5,I56,I5610,74956690.0,69883823.26890984,67744029.0,83,4338080.0,10493937.0,11324668.0,1,medium,2011,اللوتس لوجستيات ش.ذ.م.م,12,0.5017452448761248,0.4001111747043371,0.0246913580246914,15.616131791022756,5.92,0.07259
100233326,2023,أنشطة الإقامة وخدمات الطعام,I5,I56,I5610,79023170.0,59896893.85440984,84809623.0,81,4338080.0,11063244.0,10809493.0,1,medium,2011,اللوتس لوجستيات ش.ذ.م.م,13,0.0542510615129883,-0.14290759931766672,-0.0240963855421686,19.55003665215948,5.47,0.31932
100233326,2024,أنشطة الإقامة وخدمات الطعام,I5,I56,I5610,88106543.0,64922660.82086803,82480016.0,86,4338080.0,12334916.0,11517936.0,1,medium,2011,اللوتس لوجستيات ش.ذ.م.م,14,0.1149456925101839,0.08390697151465343,0.0617283950617284,19.013023272968688,6.68,0.3571
100233326,2025,أنشطة الإقامة وخدمات الطعام,I5,I56,I5610,88742875.0,71595703.91286808,89009101.0,84,4338080.0,12424003.0,11259039.0,1,medium,2011,اللوتس لوجستيات ش.ذ.م.م,15,0.0072223012994618,0.10278449785679666,-0.0232558139534884,20.518086572861726,4.6,0.2395
100271416,2021,الأنشطة المهنية والعلمية والتقنية,M7,M71,M7120,51470230.0,51470230.0,46623959.0,11,2335102.0,7205832.0,6543917.0,1,small,2011,النيل أغذية ذ.م.م,11,,,,19.966562060244048,4.93,0.0
100271416,2022,الأنشطة المهنية والعلمية والتقنية,M7,M71,M7120,52322573.0,48781522.29649726,49736330.0,10,2335102.0,7325160.0,7950001.0,1,small,2011,النيل أغذية ذ.م.م,12,0.0165599221142007,-0.05223811324532135,-0.0909090909090909,21.299425035822846,3.98,0.07259
100271416,2023,الأنشطة المهنية والعلمية والتقنية,M7,M71,M7120,49786658.0,37736605.22087136,48493745.0,10,2335102.0,6970132.0,7612941.0,1,small,2011,النيل أغذية ذ.م.م,13,-0.0484669398808044,-0.22641599842854798,0.0,20.767291964119767,3.78,0.31932
100271416,2024,الأنشطة المهنية والعلمية والتقنية,M7,M71,M7120,52841787.0,38937283.1773635,56908547.0,11,2335102.0,7397850.0,5966407.0,1,medium,2011,النيل أغذية ذ.م.م,14,0.0613644121282452,0.031817328280183244,0.1,24.37090414037588,6.08,0.3571
100271416,2025,الأنشطة المهنية والعلمية والتقنية,M7,M71,M7120,53986770.0,43555280.35498185,49340857.0,11,2335102.0,7558148.0,8225633.0,1,small,2011,النيل أغذية ذ.م.م,15,0.0216681354852741,0.11860090896899189,0.0,21.130064982172087,4.58,0.2395
100400180,2022,الصناعة التحويلية,C1,C15,C1512,27303159.0,27303159.0,25202074.0,10,1403794.0,3822442.0,3081348.0,8,small,2022,النيل لوجستيات ش.م.م,1,,,,17.95282926127338,4.77,0.0
100400180,2023,الصناعة التحويلية,C1,C15,C1512,25748073.0,19516169.693478458,26057151.0,10,1403794.0,3604730.0,3172347.0,8,small,2022,النيل لوجستيات ش.م.م,2,-0.0569562664891634,-0.285204701277297,0.0,18.5619478356511,4.56,0.31932
100400180,2024,الصناعة التحويلية,C1,C15,C1512,28161226.0,20751032.34838995,26473172.0,10,1403794.0,3942572.0,3547271.0,8,small,2022,النيل لوجستيات ش.م.م,3,0.0937216932700166,0.0632738223896534,0.0,18.85830257145992,4.97,0.3571
100400180,2025,الصناعة التحويلية,C1,C15,C1512,29797000.0,24039532.069382817,29812650.0,10,1403794.0,4171580.0,2935388.0,8,small,2022,النيل لوجستيات ش.م.م,4,0.0580860364531004,0.15847402990762616,0.0,21.23719719559993,5.24,0.2395
100414406,2022,المعلومات والاتصالات,J5,J58,J5819,191584226.0,191584226.0,195968521.0,40,4555687.0,26821792.0,20443513.0,5,medium,2022,الدلتا خدمات ش.ذ.م.م,1,,,,43.0162390436393,6.23,0.0
100414406,2023,المعلومات والاتصالات,J5,J58,J5819,205708850.0,155920360.48873663,224614606.0,43,4555687.0,28799239.0,21837960.0,5,medium,2022,الدلتا خدمات ش.ذ.م.م,2,0.0737254015891684,-0.18615241064399202,0.0749999999999999,49.30422261230853,5.57,0.31932
100414406,2024,المعلومات والاتصالات,J5,J58,J5819,222714231.0,164110405.2759561,244008289.0,44,4555687.0,31179992.0,32739264.0,5,medium,2022,الدلتا خدمات ش.ذ.م.م,3,0.0826672308945386,0.05252710269234595,0.0232558139534884,53.56124970833159,6.59,0.3571
100414406,2025,المعلومات والاتصالات,J5,J58,J5819,239808358.0,193471849.93949172,228612256.0,43,4555687.0,33573170.0,33383115.0,5,medium,2022,الدلتا خدمات ش.ذ.م.م,4,0.0767536359183083,0.17891275458227995,-0.0227272727272727,50.18173021983293,5.72,0.2395
100479255,2021,الصناعة التحويلية,C3,C30,C3091,96260926.0,96260926.0,93757428.0,70,12634834.0,13476530.0,14705090.0,4,medium,2017,الأهرام كيماويات ش.م.م,5,,,,7.420550835887515,5.4,0.0
