القطاع,booming,booming_confidence,shrinking,shrinking_confidence,top_5_companies
أنشطة الأسر المعيشية كأصحاب عمل؛ أنشطة إنتاج السلع والخدمات للاستخدام الخاص,1,mid,0,,الدلتا منسوجات ش.ذ.م.م (23.89%) | الجيزة لوجستيات محدودة (14.48%) | حورس زراعة ش.م.م (12.12%) | النيل كيماويات محدودة (11.22%) | مصر بلاستيك محدودة (8.21%)
أنشطة الإقامة وخدمات الطعام,1,high,0,,الإسكندرية زراعة ذ.م.م (1.35%) | الجيزة منسوجات محدودة (1.34%) | القاهرة بلاستيك ش.م.م (1.32%) | اللوتس بلاستيك ذ.م.م (1.31%) | القاهرة زراعة ش.ذ.م.م (1.15%)
أنشطة الخدمات الأخرى,1,high,0,,حورس لوجستيات ش.ذ.م.م (1.12%) | الإسكندرية تقنية ش.م.م (1.12%) | القاهرة لوجستيات ش.ذ.م.م (1.05%) | سيناء لوجستيات محدودة (1.02%) | الإسكندرية لوجستيات محدودة (0.94%)
أنشطة الخدمات الإدارية وخدمات الدعم,1,high,0,,سيناء كيماويات ذ.م.م (1.58%) | مصر خدمات ش.ذ.م.م (1.02%) | القاهرة منسوجات ش.ذ.م.م (1.02%) | الدلتا منسوجات ش.م.م (1.01%) | القاهرة خدمات ش.م.م (0.97%)
أنشطة المنظمات والهيئات خارج الإقليم,0,,0,,مصر أغذية ش.م.م (22.34%) | الإسكندرية تقنية ش.ذ.م.م (18.64%) | سيناء تجارة ش.ذ.م.م (14.40%) | اللوتس لوجستيات ذ.م.م (13.23%) | الأهرام أغذية محدودة (11.15%)
إمدادات الكهرباء والغاز والبخار وتكييف الهواء,1,mid,0,,النيل منسوجات ذ.م.م (5.17%) | اللوتس خدمات محدودة (3.61%) | القاهرة صلب محدودة (3.03%) | القاهرة لوجستيات محدودة (2.92%) | اللوتس تقنية محدودة (2.87%)
إمدادات المياه؛ الصرف الصحي وإدارة النفايات ومعالجتها,1,high,0,,النيل كيماويات ش.م.م (4.93%) | حورس تجارة محدودة (4.78%) | حورس منسوجات ذ.م.م (4.44%) | اللوتس أغذية محدودة (4.07%) | النيل زراعة ش.م.م (3.90%)
الأنشطة العقارية,1,high,0,,الأهرام صلب ش.م.م (2.17%) | حورس خدمات ش.م.م (1.95%) | اللوتس تقنية محدودة (1.81%) | النيل بلاستيك ش.م.م (1.80%) | الأهرام تجارة ش.ذ.م.م (1.47%)
الأنشطة المالية وأنشطة التأمين,0,,0,,سيناء خدمات ذ.م.م (2.21%) | اللوتس تقنية ذ.م.م (2.17%) | الجيزة صلب ش.م.م (1.88%) | اللوتس بلاستيك ش.م.م (1.46%) | الأهرام بلاستيك ش.ذ.م.م (1.38%)
الأنشطة المهنية والعلمية والتقنية,1,high,0,,النيل منسوجات محدودة (1.18%) | الدلتا صلب محدودة (1.06%) | الجيزة أغذية محدودة (1.03%) | سيناء منسوجات ذ.م.م (1.01%) | الجيزة خدمات ذ.م.م (0.96%)
