الرقم_الضريبي,name_ar,isic_section,الفرع_كود,is_industrial,start_year,close_year,رأس_المال_المدفوع_جنيه,فئة_SME_أولية,branches,المجموع_كود,القسم_كود,الفرع,المجموع,القسم,القطاع,اسم_الشركة
898195259,النيل خدمات ذ.م.م,L,L6810,0,2023,10000,2972459.0,small,1,L68,L6,,,,الأنشطة العقارية,النيل خدمات ذ.م.م
834064562,الإسكندرية خدمات ش.ذ.م.م,H,H5221,0,2010,10000,3377221.0,medium,1,H52,H5,,,,النقل والتخزين,الإسكندرية خدمات ش.ذ.م.م
719726668,النيل لوجستيات محدودة,J,J6130,0,2024,10000,588696.0,small,1,J61,J6,,,,المعلومات والاتصالات,النيل لوجستيات محدودة
217659658,الأهرام أغذية ش.ذ.م.م,C,C2740,1,2009,10000,7835399.0,medium,1,C27,C2,,,,الصناعة التحويلية,الأهرام أغذية ش.ذ.م.م
224789655,القاهرة لوجستيات ذ.م.م,H,H5223,0,2006,10000,1245018.0,small,1,H52,H5,,,,النقل والتخزين,القاهرة لوجستيات ذ.م.م
539358338,الإسكندرية زراعة ش.ذ.م.م,S,S9492,0,2023,10000,4079217.0,medium,1,S94,S9,,,,أنشطة الخدمات الأخرى,الإسكندرية زراعة ش.ذ.م.م
979939502,اللوتس صلب ش.ذ.م.م,G,G4763,0,2020,10000,3447794.0,medium,1,G47,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,اللوتس صلب ش.ذ.م.م
555224864,سيناء زراعة ش.م.م,C,C1020,1,2018,2019,2965006.0,small,1,C10,C1,,,,الصناعة التحويلية,سيناء زراعة ش.م.م
567990619,اللوتس لوجستيات ش.م.م,S,S9512,0,2011,10000,3044968.0,medium,3,S95,S9,,,,أنشطة الخدمات الأخرى,اللوتس لوجستيات ش.م.م
172743223,مصر بلاستيك ش.م.م,I,I5510,0,2023,10000,4259193.0,medium,1,I55,I5,,,,أنشطة الإقامة وخدمات الطعام,مصر بلاستيك ش.م.م
411655466,اللوتس زراعة ذ.م.م,C,C3312,1,2011,10000,3460274.0,small,1,C33,C3,,,,الصناعة التحويلية,اللوتس زراعة ذ.م.م
100233326,اللوتس لوجستيات ش.ذ.م.م,I,I5610,0,2011,10000,4338080.0,medium,1,I56,I5,,,,أنشطة الإقامة وخدمات الطعام,اللوتس لوجستيات ش.ذ.م.م
